Nom,Hauteur a maturite (mm),Période de floraison START,Période de floraison END,Type,Forme,Sol,pH Sol,Rusticite,Besoin en Eau,Besoin en Soleil,Teinte,Periodicite,Photo URL,Description,Conseils,Model
Abricotier,2000 - 10000,2,4,Arbre,Arrondi,"Calcaire, Sableux, Caillouteux",7,5,1,8,"Vert, Rose",Vivace,https://media.ooreka.fr/public/image/plant/5/mainImage-source-9661390.jpg,"Pour s'épanouir, l'abricotier demande du plein air, une terre bien drainée et la générosité du soleil. Ses fleurs laissent place à des fruits sucrés, légèrement acidulés. Résistant à la sécheresse, l'abricotier est assez facile à vivre.","Au début du printemps, dans l'objectif d'optimiser la fructification, n'hésitez pas à griffer le sol au pied de l'arbre en veillant à ne pas abîmer les racines superficielles et à répandre du compost ou du fumier décomposé. L'opération peut être renouvelée à l'automne.

Sauf en période de sécheresse particulièrement longue, l'abricotier planté depuis plusieurs années n'a généralement pas besoin d'être arrosé.",-1
Anémone,150 - 1500,3,10,Fleur,-1,"Calcaire, Sableux, Humus",7,7,5,7,"Blanche, Jaune, Rouge, Rose, Violet, Bleu",Vivace,https://media.ooreka.fr/public/image/plant/68/mainImage-full-9393274.jpg,"Les anémones sont des plantes vivaces à la culture peu exigeante qui égaient jardin, terrasse ou balcon. Elles sont très appréciées pour la précocité de leur floraison et la gracilité de leurs fleurs aux coloris divers.","La période de plantation des anémones dépend des variétés choisies et de la période de floraison  :

Les bulbes se plantent plutôt en automne, lorsqu'ils sont en dormance ou au début du printemps en arrosant pendant les chaleurs la première année.
Les anémones en général sont peu exigeantes pour la qualité du sol pourvu qu'il soit bien drainé. Une humidité stagnante entraîne le pourrissement de ses racines.
L'exposition la plus favorable varie selon les variétés : plein soleil pour les espèces fleurissant au printemps (sauf pour l'anémone des bois), ou mi-ombre.",9
Bougainvillier,450 - 10000,5,10,Arbuste,"Buissonnant, Palissable, Grimpant","Argileux, Sableux, Humus","7, 0",3,1,9,"Blanche, Orange, Rouge, Rose, Jaune, Violet",Vivace,https://media.ooreka.fr/public/image/plant/53/furtherImage/diuotj3z36ok8040s0o4oos04-source-10232704.jpg,Leur palette de coloris somptueux évoque les bords de la Méditerranée où ces arbustes grimpants habillent murets et façades. En pleine terre dans le Midi ou en bac pour les autres régions les bougainvilliers illumineront vos étés.,"La résistance au froid et au gel varie d’une variété de bougainvilliers à l’autre. Globalement les bougainvilliers sont peu rustiques. Certaines variétés toutefois tolèrent des gels passagers.

Contre une façade, palissez les nouveaux rameaux à mesure de leur croissance, surtout en exposition au vent, car ils sont fragiles.",9
Bouleau,5000 - 10000,11,3,Arbre,"Arrondi, Tombant","Argileux, Sableux, Caillouteux","7, 0",9,1,6,"Vert, Jaune",Vivace,https://media.ooreka.fr/public/image/plant/129/mainImage-source-11400946.jpg,"Le bouleau est célèbre et apprécié pour son écorce généralement blanche, mais aussi pour son feuillage léger qui procure une ombre douce en été. On l’aime aussi pour sa belle coloration automnale, et parce qu’il pousse dans tous les sols.","Rustique et résistant, le bouleau peut se planter dans tous nos jardins, de préférence au soleil. Côté sol, il ne redoute que les terres trop calcaires, ou insuffisamment drainées. Le bouleau n'est pas exigeant. Il pousse tout seul et ne demande rien. Veillez simplement à pailler la terre sous sa ramure afin de conserver une certaine humidité au niveau de ses racines.

",-1
Brahea armata,5000 - 10000,7,8,Arbre,Palme,"Argileux, Calcaire, Sableux, Caillouteux","14, 7, 0",5,1,9,"Gris, Blanche",Vivace,https://media.ooreka.fr/public/image/plant/455/mainImage-source-10779424.jpg,"Palmier aux feuilles en éventail, Brahea armata est surnommé le palmier bleu du Mexique du fait de sa remarquable teinte gris-bleu. D’autres palmiers du genre Brahea sont cultivés en France, ayant tous une bonne rusticité.","Brahea armata présente une rusticité de l'ordre de -10 °C et jusqu'à -14 °C pour des sujets adultes bien installés.

Plantez-le en situation abritée, contre un mur bien ensoleillé si nécessaire. Il est peu exigeant sur la qualité du sol mais n'apprécie pas les sols riches et les excès d'eau. Pensez à relever les palmes pour protéger les Brahea de la neige le cas échéant.",-1
Buis,300 - 10000,4,5,Arbuste,"Buissonnant, Arrondi, Conique","Argileux, Calcaire, Caillouteux","14, 7, 0",7,1,5,"Vert, Gris",Vivace,https://media.ooreka.fr/public/image/plant/52/mainImage-source-10060975.jpg,"Si vous souhaitez installer une belle haie persistante aux formes géométriques et régulières ou doter votre jardin de sculptures végétales plus ou moins complexes, le buis sera pour vous l'arbuste idéal.","Plantez le buis au printemps ou à l'automne, la meilleure période étant le mois de mars.

Le buis préfère les sols calcaires riches et drainés. Mais il s'adaptera à des sols argileux, pauvres ou caillouteux, d'autant mieux que vous devez remplir son trou de plantation d'un mélange terreau et de terre. Le buis se plaît en terrasse ou sur un balcon aussi bien en ville qu'en campagne, car il supporte bien la pollution.",-1
Camélia,1000 - 5000,9,5,Arbuste,"Tapis, Buissonnant, Ouvert","Sableux, Bruyère, Humus","7, 0",8,5,3,"Blanche, Jaune, Rouge, Rose",Vivace,https://media.ooreka.fr/public/image/plant/156/furtherImage/cebzto0k5u888ck804ockwsc0-source-11388479.jpg,"Les nombreuses variétés de camélias vous permettront d’illuminer votre jardin ou votre terrasse par leur magnifique floraison. Blanches, roses ou rouges, simples ou doubles, leurs fleurs sont toujours un enchantement, particulièrement en hiver.","Le camélia est réputé ne pousser bien que dans les terrains acides (pH inférieur à 7), mais bien drainés. La présence de boutons floraux est signe de bonne santé. Si leur croissance est régulière et si leur nombre augmente avec l'âge de votre camélia, c'est qu'il se porte bien.

En revanche, si elle est anormalement lente ou si leur nombre diminue ou s'ils tombent, il faut intervenir après avoir déterminé la cause.",3
Campanule,150 -2000,5,9,Fleur,"Tapis, Buissonnant","Calcaire, Caillouteux, Humus",7,7,5,7,"Blanche, Rouge, Rose, Violet, Bleu","Vivace, Annuelle, Bisannuelle",https://media.ooreka.fr/public/image/plant/8/mainImage-full-9131531.jpg,"La campanule est une ravissante fleur en forme de cloche ou d'étoile. Sa floraison abondante et de longue durée embellit les petits jardins, les massifs mais aussi les balcons et les terrasses. De plus, elle est facile à cultiver.","Les campanules peuvent se planter partout dans le jardin : rocaille, massif, isolé, bordure… mais aussi sur les balcons, les terrasses et même à l'intérieur de la maison.

La campanule ne demande pas d'entretien particulier.",10
Capucine,150 - 5000,5,10,Fleur,"Tapis, Grimpant","Calcaire, Sableux, Caillouteux, Humus, Terreau","14, 7",1,1,9,"Blanche, Jaune, Orange, Rouge, Rose","Vivace, Annuelle, Bisannuelle",https://media.ooreka.fr/public/image/plant/46/mainImage-full-12630171.jpg,"La capucine est une fleur comestible, très facile d'entretien, qui fleurit tout l’été. Grimpante ou naine, elle trouve sa place partout au jardin et sur les balcons. Elle est aussi utile au potager car elle éloigne les pucerons des légumes.","En général, la capucine apprécie tous les sols, exception faite pour la capucine des canaris qui a besoin d'une terre riche et franche.

Elle aime les expositions ensoleillées. La capucine fleurit mieux dans un sol ingrat et plutôt sec, et au soleil. Un sol trop riche lui fera produire des feuilles au détriment des fleurs.

L'arrosage estival doit être régulier mais sans excès.",9
Carotte,300 - 600,6,11,Legume,-1,"Sableux, Humus",7,9,5,9,"Orange, Blanche, Vert",Annuelle,https://media.ooreka.fr/public/image/plant/70/mainImage-full-9393467.jpg,"La carotte est le légume indispensable au potager. Riche en vitamines et en sels minéraux, elle se consomme crue ou cuite et est très goûteuse. De plus, la carotte est facile à entretenir, il ne vous reste plus qu'à la cultiver !","La carotte aime une exposition ensoleillée. Elle préfère un sol meuble, voire sablonneux, frais et riche en humus. Les sols caillouteux gênent le développement des racines.

On la plante généralement au potager. La carotte ne demande pas d'entretien spécifique.",-1
Cèdre,1000 - 10000,9,10,Arbre,"Arrondi, Conique, Tapis, Tombant","Calcaire, Sableux, Caillouteux","7, 0",9,1,9,"Vert, Jaune, Gris, Bleu",Vivace,https://media.ooreka.fr/public/image/plant/321/mainImage-source-11704162.jpg,"Symbole de majesté et de longévité, le cèdre est toujours très décoratif grâce à son feuillage persistant. Son port et sa taille varient en fonction des variétés, lui permettant de s’adapter à tous les jardins !","Il s'adapte aux sols neutres ou calcaires mais se développe mieux sur des terrains acides. Une exposition ensoleillée, mais pas plein sud, lui conviendra. Il a besoin de lumière pour bien se développer. Pour choisir l'emplacement d'un cèdre, tenez compte de sa taille adulte prévisible. En allée, prévoir au minimum 7 à 10 m.",-1
Châtaigner,100000,6,7,Arbre,Ouvert,"Argileux, Calcaire, Caillouteux, Sableux","7, 0",9,1,9,"Vert, Jaune",Vivace,https://media.ooreka.fr/public/image/plant/403/furtherImage/9ja8sm23veo0g4kg04sgkoc8c-full-11789255.jpg,"Le châtaignier a longtemps été considéré comme le pain du pauvre grâce aux qualités nutritives de ses fruits. La châtaigne se consomme de multiples façons et est riche en vitamine C. Attention, le châtaignier pousse exclusivement sur sol acide.","Les températures moyennes de juillet-août doivent atteindre au moins 19-20 °C (les variétés anciennes pouvaient fructifier entre 10 et 20 °C). Le châtaignier a en effet besoin de chaleur pour mûrir c'est pourquoi il pousse souvent avec la vigne. Cependant, il réclame un sol frais dès septembre. Un minimum de 700 voire 800 mm de pluie est exigé sur l'année. L'irrigation est parfois pratiquée en juillet pour favoriser la formation des fleurs de l'année suivante.",-1
Chêne,1000 - 10000,3,5,Arbre,"Buissonnant, Arrondi","Argileux, Calliouteux",7,9,5,9,"Vert, Jaune",Vivace,https://media.ooreka.fr/public/image/plant/460/mainImage-source-12604149.jpg,"Qu’il soit vert ou blanc, à feuillage persistant ou caduc un chêne meuble majestueusement un grand jardin dès qu’il atteint une certaine taille. Il peut s’utiliser aussi bien en isolé qu’en alignement le long d’une allée ou groupé en bosquet.","Les chênes en général se développent bien dans un sol profond, drainé mais frais. En revanche, les chênes verts sont adaptés à un climat sec et un sol sec. La plupart n’aiment pas les sols calcaires.

Planté en isolé, le chêne demande un espace dégagé suffisant et de la lumière.

Le paillage des pieds des jeunes chênes permet de maintenir un sol frais pendant l’été.

Une fois adulte, il n’a pas besoin d’apports d’eau ni d’engrais.",-1
Citronnier,1000 - 10000,"3, 8","4, 10",Arbre,Arrondi,"Sableux, Terreau","7, 0",1,5,9,"Blanche, Rose, Vert",Vivace,https://media.ooreka.fr/public/image/plant/173/furtherImage/98kw3r5uitk40o8oc8ck0848w-source-11531320.jpg,"Le citronnier est l’agrume le plus cultivé chez le particulier. Son succès vient d’une récolte quasiment continue 8 mois/12 et de son utilisation fréquente en cuisine. Peu rustique, il peut se planter en pot dans les régions aux hivers rigoureux.","La culture reste possible en zone non méditerranéenne, à condition de tenir compte des variétés, de surveiller l’irrigation et de les protéger du froid en deçà de -5 °C.

Choisissez un emplacement bien ensoleillé, abrité des courants d’air, des vents dominants et du gel par un mur ou une haie brise-vent si nécessaire.",-1
Clématite,1000 - 10000,2,11,Arbuste,Grimpant,"Argileux, Sableux, Bruyère, Humus",7,9,5,7,"Blanche, Jaune, Rouge, Rose, Violet, Bleu, Noir",Vivace,https://media.ooreka.fr/public/image/plant/131/mainImage-source-11322775.jpg,"Superbe plante grimpante à petites ou grandes fleurs, à la floraison abondante et généreuse et aux couleurs variées, la clématite orne et magnifie murs, pergolas, balcons et terrasses.","La clématite se plante la tête au soleil et le pied à l'ombre, et de préférence au sud ou à l'ouest.

Pour la protéger de la chaleur estivale, pensez à protéger le pied avec un petit arbuste (lavande, santoline) planté juste devant, qui apportera de l'ombre et pompera l'excès d'eau. À défaut, un épais paillage d'écorces de pin convient. Apportez un paillage au pied avec des feuilles, des aiguilles ou des écorces de pin.",9
